name,categories,cast
Ferrari (2023),"Biography,Drama,History","Shailene Woodley,Adam Driver,Penélope Cruz,Sarah Gadon"
No Way Up (2024),"Action,Adventure,Drama","Colm Meaney,Phyllis Logan,Will Attenborough,James Carroll Jordan"
Duna (parte dos) (2024),"Action,Adventure,Drama","Rebecca Ferguson,Florence Pugh,Timothée Chalamet,Zendaya"
Snow White (2024),"Adventure,Drama,Family","Rachel Zegler,Gal Gadot,Andrew Burnap,Ansu Kabia"
The Crow (2024),"Action,Crime,Fantasy","Bill Skarsgård,Laura Birn,Danny Huston,Jordan Bolger"
La Contadora de Películas (2023),Drama,"Daniel Brühl,Bérénice Bejo,Antonio de la Torre,Max Salgado"
Immaculate (2024),Horror,"Sydney Sweeney,Álvaro Morte,Simona Tabasco,Benedetta Porcaroli"
The Great Escaper (2023),Drama,"Michael Caine,Glenda Jackson,Wolf Kahler,John Standing"
Breathe (2024),"Action,Thriller","Milla Jovovich,Common,Sam Worthington,Raúl Castillo"
Kingdom of the Planet of the Apes (2024),"Action,Sci-Fi","Freya Allan,Dichen Lachman,Kevin Durand,William H. Macy"
Woman of the Hour (2023),"Crime,Drama,Mystery","Anna Kendrick,Tony Hale,Kelley Jakle,Daniel Zovatto"
Hellboy: The Crooked Man (2024),"Action,Fantasy,Horror","Jefferson White,Jack Kesy,Adeline Rudolph,Leah McNamara"
June and John (2024),"Romance,Thriller","Don Scribner,Honey Lauren,Myles Cranford,Briana Bui"
Cold Storage (2024),Thriller,"Liam Neeson,Sosie Bacon,Lesley Manville,Vanessa Redgrave"
Xenobot (2024),"Action,Adventure,Sci-Fi","Wills Canga,Cristian Gómez,Alejandro Gomez,Jaime Marquez"
Kraven El Cazador (2024),"Action,Adventure,Sci-Fi","Aaron Taylor-Johnson,Ariana DeBose,Russell Crowe,Christopher Abbott"
